60 30 2340
17 36 -1.259E-01  7.411E-02
17 41  5.013E-07 -8.277E-10
17 43 -1.984E-03  2.632E-04
17 44  4.451E-04 -5.456E-05
17 45  4.168E-03 -5.923E-04
17 46  1.855E-03 -2.624E-04
17 47 -2.180E-04  5.870E-06
17 48 -1.240E-03  1.224E-04
17 53  5.013E-07 -8.277E-10
18  1 -7.207E-02  3.560E-02
18  2  3.173E-02 -2.528E-02
18  3 -9.958E-02  5.921E-02
18  4 -7.849E-03  2.250E-03
18  5 -3.880E-02  1.908E-02
18  6 -8.721E-02  6.694E-02
18  7 -1.993E-03  2.649E-04
18  8  1.805E-03 -2.567E-04
18  9 -4.188E-03  5.963E-04
18 10  6.341E-04 -8.145E-05
18 11 -1.240E-03  1.224E-04
18 12 -2.227E-04  6.081E-06
18 13 -7.787E-01  5.662E-01
18 14  4.801E-01 -4.907E-01
18 16 -5.055E-02  4.368E-02
18 17 -3.921E-01  2.677E-01
18 18 -6.979E-01  1.000E+00
18 19 -2.434E-01  1.329E-01
18 20  2.054E-01 -1.506E-01
18 21 -1.971E-01  1.166E-01
18 22  8.720E-02 -4.779E-02
18 23 -1.259E-01  7.411E-02
18 24 -5.751E-02  2.128E-02
18 25 -7.207E-02  3.560E-02
18 26  3.173E-02 -2.528E-02
18 27  9.958E-02 -5.921E-02
18 28 -7.849E-03  2.250E-03
18 29 -3.880E-02  1.908E-02
18 30 -8.721E-02  6.694E-02
18 31 -2.434E-01  1.329E-01
18 32  2.054E-01 -1.506E-01
18 33  1.971E-01 -1.166E-01
18 34  8.720E-02 -4.779E-02
18 35 -1.259E-01  7.411E-02
18 36 -5.751E-02  2.128E-02
18 42  4.999E-07 -8.277E-10
18 43 -1.993E-03  2.649E-04
18 44  1.805E-03 -2.567E-04
18 45  4.188E-03 -5.963E-04
18 46  6.341E-04 -8.145E-05
18 47 -1.240E-03  1.224E-04
18 48 -2.227E-04  6.081E-06
18 54  4.999E-07 -8.277E-10
19  1 -5.671E-01  3.373E-01
19  2 -2.075E-01  1.469E-01
19  3 -4.743E-01  3.356E-01
19  4 -2.304E-01  1.631E-01
19  5 -2.425E-01  1.323E-01
19  6 -2.434E-01  1.329E-01
19  7 -1.166E-01  5.220E-02
19  9 -1.750E-01  9.231E-02
19 11 -7.195E-02  3.556E-02
19 12 -7.207E-02  3.560E-02
19 13 -5.671E-01  3.373E-01
19 14 -2.075E-01  1.469E-01
19 15  4.743E-01 -3.356E-01
19 16 -2.304E-01  1.631E-01
19 17 -2.425E-01  1.323E-01
